
GET /simple.html HTTP/, @Tue Jul 07 15:40:00 +0100 2015, IP: 127.0.0.1
GET /favicon.ico HTTP/, @Tue Jul 07 15:40:00 +0100 2015, IP: 127.0.0.1
GET /simple.html HTTP/, @Tue Jul 07 15:40:04 +0100 2015, IP: 127.0.0.1
GET /favicon.ico HTTP/, @Tue Jul 07 15:40:04 +0100 2015, IP: 127.0.0.1
GET /pages/simple.html HTTP/, @Tue Jul 07 15:40:51 +0100 2015, IP: 127.0.0.1
GET /favicon.ico HTTP/, @Tue Jul 07 15:40:51 +0100 2015, IP: 127.0.0.1
GET /pages/simple.html HTTP/, @Tue Jul 07 15:40:56 +0100 2015, IP: 127.0.0.1
GET /favicon.ico HTTP/, @Tue Jul 07 15:40:56 +0100 2015, IP: 127.0.0.1
GET /pages/simple.html HTTP/, @Tue Jul 07 15:41:21 +0100 2015, IP: 127.0.0.1
GET /favicon.ico HTTP/, @Tue Jul 07 15:41:21 +0100 2015, IP: 127.0.0.1
GET /pages/simple.html HTTP/, @Tue Jul 07 15:42:18 +0100 2015, IP: 127.0.0.1
GET /favicon.ico HTTP/, @Tue Jul 07 15:42:18 +0100 2015, IP: 127.0.0.1
GET /pages/simple.html HTTP/, @Tue Jul 07 15:42:19 +0100 2015, IP: 127.0.0.1
GET /favicon.ico HTTP/, @Tue Jul 07 15:42:19 +0100 2015, IP: 127.0.0.1
GET /pages/simple.html HTTP/, @Tue Jul 07 15:42:19 +0100 2015, IP: 127.0.0.1
GET /favicon.ico HTTP/, @Tue Jul 07 15:42:19 +0100 2015, IP: 127.0.0.1
GET /pages/simple.html HTTP/, @Tue Jul 07 15:42:20 +0100 2015, IP: 127.0.0.1
GET /favicon.ico HTTP/, @Tue Jul 07 15:42:20 +0100 2015, IP: 127.0.0.1
GET /pages/simple.html HTTP/, @Tue Jul 07 15:42:34 +0100 2015, IP: 127.0.0.1
GET /favicon.ico HTTP/, @Tue Jul 07 15:42:34 +0100 2015, IP: 127.0.0.1
GET /pages/simple.html HTTP/, @Tue Jul 07 15:42:34 +0100 2015, IP: 127.0.0.1
GET /favicon.ico HTTP/, @Tue Jul 07 15:42:34 +0100 2015, IP: 127.0.0.1
